Year,Month,Variable,101,102
1909,9,precip,96.470764,96.470764
1909,10,precip,60.012836,60.012836
1909,11,precip,53.190475,53.190475
1909,12,precip,44.697727,44.697727
1910,1,precip,19.403645,19.403645
1910,2,precip,27.408426,27.408426
1910,3,precip,16.7023516,16.7023516
1910,4,precip,54.600132,54.600132
1910,5,precip,47.610065,47.610065
1910,6,precip,28.694952,28.694952
1910,7,precip,110.82503,110.82503
1910,8,precip,47.28684,47.28684
1910,9,precip,100.562805,100.562805
1910,10,precip,39.264927,39.264927
1910,11,precip,30.325115,30.325115
1910,12,precip,26.618673,26.618673
1911,1,precip,26.286358,26.286358
1911,2,precip,32.233881,32.233881
1911,3,precip,39.095993,39.095993
1911,4,precip,39.041552,39.041552
1911,5,precip,87.22389,87.22389
1911,6,precip,92.34477,92.34477
1911,7,precip,124.804276,124.804276
1911,8,precip,125.74984,125.74984
1911,9,precip,93.036415,93.036415
1911,10,precip,34.268965,34.268965
1911,11,precip,39.823456,39.823456
1911,12,precip,37.036264,37.036264
1912,1,precip,15.629622,15.629622
1912,2,precip,13.9365523,13.9365523
1912,3,precip,15.525383,15.525383
1912,4,precip,49.28512,49.28512
1912,5,precip,115.94164,115.94164
1912,6,precip,64.308258,64.308258
1912,7,precip,72.127148,72.127148
1912,8,precip,91.6787,91.6787
1912,9,precip,89.168884,89.168884
1912,10,precip,23.425099,23.425099
1912,11,precip,20.485663,20.485663
1912,12,precip,31.910112,31.910112
1913,1,precip,18.123739,18.123739
1913,2,precip,21.071578,21.071578
1913,3,precip,45.466537,45.466537
1913,4,precip,53.075424,53.075424
1913,5,precip,111.585106,111.585106
1913,6,precip,86.517654,86.517654
1913,7,precip,174.65858,174.65858
1913,8,precip,75.23869,75.23869
1913,9,precip,89.49066,89.49066
1913,10,precip,93.37336,93.37336
1913,11,precip,30.4579,30.4579
1913,12,precip,13.6517096,13.6517096
1914,1,precip,33.140709,33.140709
1914,2,precip,22.541883,22.541883
1914,3,precip,31.967655,31.967655
1914,4,precip,67.323486,67.323486
1914,5,precip,81.91186,81.91186
1914,6,precip,144.7864,144.7864
1914,7,precip,88.33379,88.33379
1914,8,precip,116.99475,116.99475
1914,9,precip,83.60679,83.60679
1914,10,precip,42.531265,42.531265
1914,11,precip,26.711332,26.711332
1914,12,precip,14.9348793,14.9348793
1915,1,precip,26.391508,26.391508
1915,2,precip,29.949345,29.949345
1915,3,precip,15.051213,15.051213
1915,4,precip,29.65441,29.65441
1915,5,precip,84.27145,84.27145
1915,6,precip,177.43443,177.43443
1915,7,precip,80.42454,80.42454
1915,8,precip,46.958317,46.958317
1915,9,precip,60.27065,60.27065
1915,10,precip,82.72341,82.72341
1915,11,precip,65.455822,65.455822
1915,12,precip,28.032122,28.032122
1916,1,precip,62.59547,62.59547
1916,2,precip,17.544942,17.544942
1916,3,precip,43.130596,43.130596
1916,4,precip,87.5149,87.5149
1916,5,precip,83.822815,83.822815
1916,6,precip,136.34471,136.34471
1916,7,precip,69.466183,69.466183
1916,8,precip,117.78717,117.78717
1916,9,precip,97.07604,97.07604
1916,10,precip,46.79086,46.79086
1916,11,precip,13.695895,13.695895
1916,12,precip,22.716366,22.716366
1917,1,precip,17.829141,17.829141
1917,2,precip,31.25624,31.25624
1917,3,precip,50.909946,50.909946
1917,4,precip,45.052574,45.052574
1917,5,precip,21.015368,21.015368
1917,6,precip,60.03014,60.03014
1917,7,precip,91.69975,91.69975
1917,8,precip,78.282616,78.282616
1917,9,precip,46.46366,46.46366
1917,10,precip,68.519478,68.519478
1917,11,precip,12.636333,12.636333
1917,12,precip,32.64582,32.64582
1918,1,precip,27.743084,27.743084
1918,2,precip,17.7099924,17.7099924
1918,3,precip,16.967429,16.967429
1918,4,precip,54.272408,54.272408
1918,5,precip,98.06404,98.06404
1918,6,precip,44.2504,44.2504
1918,7,precip,69.761707,69.761707
1918,8,precip,93.487785,93.487785
1918,9,precip,42.89186,42.89186
1918,10,precip,59.649204,59.649204
1918,11,precip,39.728256,39.728256
1918,12,precip,45.336407,45.336407
1919,1,precip,18.971226,18.971226
1919,2,precip,33.876852,33.876852
1919,3,precip,34.189198,34.189198
1919,4,precip,45.295826,45.295826
1919,5,precip,56.127808,56.127808
1919,6,precip,129.56076,129.56076
1919,7,precip,88.512726,88.512726
1919,8,precip,131.961205,131.961205
1919,9,precip,69.981373,69.981373
1919,10,precip,68.07592,68.07592
1919,11,precip,70.39389,70.39389
1919,12,precip,18.255597,18.255597
1920,1,precip,29.99373,29.99373
1920,2,precip,18.307268,18.307268
1920,3,precip,36.902025,36.902025
1920,4,precip,42.46029,42.46029
1920,5,precip,83.04655,83.04655
1920,6,precip,163.57362,163.57362
1920,7,precip,113.469604,113.469604
1920,8,precip,66.77925,66.77925
1920,9,precip,64.83594,64.83594
1920,10,precip,61.998928,61.998928
1920,11,precip,32.114395,32.114395
1920,12,precip,31.824535,31.824535
1921,1,precip,22.063741,22.063741
1921,2,precip,24.605906,24.605906
1921,3,precip,44.46493,44.46493
1921,4,precip,49.65698,49.65698
1921,5,precip,104.229195,104.229195
1921,6,precip,86.51371,86.51371
1921,7,precip,119.71612,119.71612
1921,8,precip,54.417885,54.417885
1921,9,precip,78.12171,78.12171
1921,10,precip,21.656879,21.656879
1921,11,precip,19.793095,19.793095
1921,12,precip,34.46338,34.46338
1922,1,precip,20.252656,20.252656
